account_id,first_name,last_name,password,balance_checking,balance_savings
10001,suresh,sigera,juagw362,1200.0,10300.0
10002,james,taylor,idh36%@#FGd,10000.0,10300.0
10003,melvin,gordon,uYWE732g4ga1,2000.0,20000.0
10004,stacey,abrams,DEU8_qw3y72$,2000.0,20000.0
10005,jake,paul,d^dg23g)@,100000.0,100000.0
10006,Asma ,Abdullah ,asma22,0.0,0.0
10007,John,Doe,1234,0.0,0.0
10008,John,Doe,1234,0.0,0.0
10009,John,Doe,1234,100.0,0.0
10010,John,Doe,1234,0.0,0.0
10011,John,Doe,1234,100.0,0.0
10012,John,Doe,1234,0.0,0.0
10013,John,Doe,1234,100.0,0.0
10014,John,Doe,1234,0.0,0.0
10015,John,Doe,1234,100.0,0.0
10016,John,Doe,1234,50.0,0.0
10017,John,Doe,1234,0.0,0.0
10018,John,Doe,1234,100.0,0.0
10019,John,Doe,1234,50.0,0.0
10020,John,Doe,1234,0.0,0.0
10021,John,Doe,1234,100.0,0.0
10022,John,Doe,1234,0.0,0.0
10023,Jane,Smith,5678,0.0,0.0
10024,John,Doe,1234,50.0,0.0
10025,John,Doe,1234,0.0,0.0
10026,John,Doe,1234,100.0,0.0
10027,John,Doe,1234,0.0,0.0
10028,Jane,Smith,5678,0.0,0.0
10029,John,Doe,1234,50.0,0.0
10030,John,Doe,1234,0.0,0.0
10031,John,Doe,1234,100.0,0.0
10032,John,Doe,1234,0.0,0.0
10033,Jane,Smith,5678,0.0,0.0
10034,John,Doe,1234,50.0,0.0
10035,John,Doe,1234,0.0,0.0
10036,John,Doe,1234,100.0,0.0
10037,John,Doe,1234,100.0,0.0
10038,Jane,Smith,5678,100.0,0.0
10039,John,Doe,1234,50.0,0.0
10040,John,Doe,1234,0.0,0.0
10041,John,Doe,1234,100.0,0.0
10042,John,Doe,1234,100.0,0.0
10043,Jane,Smith,5678,100.0,0.0
10044,John,Doe,1234,50.0,0.0
